"Sessione";"Elezione";"Provincia";"Comune";"Sezione";"Zona";"CollCam";"CollSen";"CollPro";"Elettori";"Votanti";"Validi";"Non validi";"POPOLARI PER L'ITALIA";"+EUROPA - ITALIA IN COMUNE - P";"PARTITO COMUNISTA";"POPOLO DELLA FAMIGLIA - ALTERN";"PARTITO PIRATA";"EUROPA VERDE";"LA SINISTRA";"FORZA ITALIA";"FRATELLI D'ITALIA";"MOVIMENTO 5 STELLE";"CASAPOUND ITALIA - DESTRE UNIT";"LEGA SALVINI PREMIER";"FORZA NUOVA";"PARTITO ANIMALISTA";"PARTITO DEMOCRATICO";"AUTONOMIE PER L'EUROPA"
26/05/2019;1;"Milano";"Milano";461;1;;;;937;574;567;7;3;41;2;0;1;11;8;46;32;22;0;117;0;2;281;1
26/05/2019;1;"Milano";"Milano";462;1;;;;979;663;658;5;1;51;3;0;1;22;11;71;31;27;4;124;0;0;312;0
26/05/2019;1;"Milano";"Milano";465;7;;;;730;376;366;10;1;7;2;0;1;14;5;27;12;55;1;136;0;1;104;0
26/05/2019;1;"Milano";"Milano";467;1;;;;805;529;522;7;1;40;1;4;5;18;23;37;25;39;1;88;0;2;238;0
26/05/2019;1;"Milano";"Milano";468;1;;;;847;559;550;9;2;36;1;0;3;26;17;48;22;47;1;84;0;4;258;1
26/05/2019;1;"Milano";"Milano";469;4;;;;827;524;515;9;2;33;2;3;0;19;12;50;22;37;0;96;0;3;236;0
26/05/2019;1;"Milano";"Milano";474;8;;;;773;446;441;5;3;23;4;2;1;10;8;34;30;25;1;87;1;1;211;0
26/05/2019;1;"Milano";"Milano";477;8;;;;1033;647;643;4;1;52;1;1;3;24;17;60;34;28;0;161;0;5;256;0
26/05/2019;1;"Milano";"Milano";479;8;;;;1043;641;633;8;4;40;8;0;2;17;8;47;35;50;0;146;1;0;275;0
26/05/2019;1;"Milano";"Milano";480;8;;;;846;558;546;12;2;33;2;2;4;30;7;57;25;32;0;129;0;4;219;0
26/05/2019;1;"Milano";"Milano";482;2;;;;968;634;626;8;5;20;7;2;1;15;5;60;38;84;2;218;1;1;167;0
26/05/2019;1;"Milano";"Milano";483;8;;;;919;505;499;6;3;20;4;2;2;18;8;51;27;31;2;127;1;1;202;0
26/05/2019;1;"Milano";"Milano";484;8;;;;872;544;535;9;4;46;3;0;0;15;7;42;35;22;1;117;0;3;240;0
26/05/2019;1;"Milano";"Milano";485;8;;;;850;474;468;6;2;20;3;0;1;19;12;45;12;36;0;141;0;1;175;1
26/05/2019;1;"Milano";"Milano";487;8;;;;975;606;592;14;2;42;1;5;1;14;22;34;40;51;2;158;0;0;219;1
26/05/2019;1;"Milano";"Milano";488;8;;;;1021;595;589;6;2;39;5;1;1;18;11;57;17;51;1;144;0;6;236;0
26/05/2019;1;"Milano";"Milano";489;8;;;;962;602;594;8;4;19;3;1;1;32;8;50;35;40;0;167;1;2;231;0
26/05/2019;1;"Milano";"Milano";490;8;;;;757;429;421;8;3;30;2;1;0;6;11;48;23;30;0;112;1;0;153;1
